

RELATIVE TOLERANCE = 6.8190e-08

 ITERATION NO.        RELATIVE RESIDUAL
      86                 2.1630e-06
      87                 1.2779e-06
      88                 7.0882e-07
      89                 4.3892e-07
      90                 3.2770e-07
      91                 3.1073e-07
      92                 3.0512e-07
      93                 2.4873e-07
      94                 1.5776e-07
      95                 8.8038e-08
      96                 4.9903e-08
      97                 2.7626e-08


***PROBLEM CONVERGES IN 97 ITERATIONS***



RELATIVE TOLERANCE = 3.7578e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 1.7954e+00
       2                 5.1497e-01
       3                 2.7564e-01
       4                 2.1991e-01
       5                 1.5870e-01
       6                 1.1073e-01
       7                 8.8283e-02
       8                 8.8282e-02
       9                 8.1516e-02
      10                 5.6763e-02
      11                 4.1064e-02
      12                 3.2941e-02
      13                 2.7247e-02
      14                 2.6684e-02
      15                 2.4905e-02
      16                 2.0063e-02
      17                 1.8960e-02
      18                 1.8897e-02
      19                 1.6494e-02
      20                 1.3932e-02
      21                 1.1869e-02
      22                 1.1736e-02
      23                 1.1489e-02
      24                 1.0233e-02
      25                 9.8755e-03
      26                 9.6490e-03
      27                 8.4220e-03
      28                 8.0100e-03
      29                 8.0052e-03
      30                 7.0845e-03
      31                 5.6344e-03
      32                 5.5202e-03
      33                 5.2506e-03
      34                 4.8912e-03
      35                 4.7133e-03
      36                 4.6961e-03
      37                 4.6511e-03
      38                 4.5586e-03
      39                 4.5108e-03
      40                 4.5094e-03
      41                 4.4733e-03
      42                 4.4555e-03
      43                 4.4555e-03
      44                 4.4007e-03
      45                 4.1350e-03
      46                 4.0242e-03
      47                 4.0223e-03
      48                 3.9813e-03
      49                 3.8776e-03
      50                 3.7507e-03
      51                 3.7507e-03
      52                 3.5693e-03
      53                 3.5102e-03
      54                 3.4405e-03
      55                 2.9937e-03
      56                 2.2797e-03
      57                 2.0339e-03
      58                 2.0292e-03
      59                 1.6198e-03
      60                 1.1295e-03
      61                 8.0971e-04
      62                 6.9665e-04
      63                 6.9175e-04
      64                 6.5966e-04
      65                 4.9822e-04
      66                 3.5370e-04
      67                 3.0404e-04
      68                 3.0292e-04
      69                 2.5055e-04
      70                 1.7379e-04
      71                 1.3941e-04
      72                 1.3224e-04
      73                 1.2926e-04
      74                 1.0381e-04
      75                 7.2806e-05
      76                 4.8709e-05
      77                 3.2681e-05
      78                 2.5030e-05
      79                 2.2958e-05
      80                 2.2938e-05
      81                 2.0111e-05
      82                 1.4133e-05
      83                 8.8686e-06
      84                 5.6372e-06
      85                 3.2908e-06
      86                 1.9200e-06
      87                 1.1343e-06
      88                 6.2918e-07
      89                 3.8960e-07
      90                 2.9088e-07
      91                 2.7581e-07
      92                 2.7084e-07
      93                 2.2078e-07
      94                 1.4004e-07
      95                 7.8146e-08
      96                 4.4295e-08
      97                 2.4521e-08


***PROBLEM CONVERGES IN 97 ITERATIONS***



RELATIVE TOLERANCE = 3.3356e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 1.5937e+00
       2                 4.5720e-01
       3                 2.4479e-01
       4                 1.9521e-01
       5                 1.4098e-01
       6                 9.8295e-02
       7                 7.8364e-02
       8                 7.8363e-02
       9                 7.2357e-02
      10                 5.0387e-02
      11                 3.6452e-02
      12                 2.9241e-02
      13                 2.4185e-02
      14                 2.3686e-02
      15                 2.2106e-02
      16                 1.7808e-02
      17                 1.6829e-02
      18                 1.6774e-02
      19                 1.4641e-02
      20                 1.2366e-02
      21                 1.0535e-02
      22                 1.0417e-02
      23                 1.0198e-02
      24                 9.0827e-03
      25                 8.7657e-03
      26                 8.5648e-03
      27                 7.4756e-03
      28                 7.1099e-03
      29                 7.1057e-03
      30                 6.2885e-03
      31                 5.0014e-03
      32                 4.9000e-03
      33                 4.6606e-03
      34                 4.3416e-03
      35                 4.1838e-03
      36                 4.1685e-03
      37                 4.1285e-03
      38                 4.0465e-03
      39                 4.0040e-03
      40                 4.0028e-03
      41                 3.9707e-03
      42                 3.9549e-03
      43                 3.9549e-03
      44                 3.9062e-03
      45                 3.6705e-03
      46                 3.5720e-03
      47                 3.5704e-03
      48                 3.5337e-03
      49                 3.4418e-03
      50                 3.3293e-03
      51                 3.3293e-03
      52                 3.1683e-03
      53                 3.1158e-03
      54                 3.0540e-03
      55                 2.6575e-03
      56                 2.0237e-03
      57                 1.8055e-03
      58                 1.8013e-03
      59                 1.4378e-03
      60                 1.0026e-03
      61                 7.1873e-04
      62                 6.1837e-04
      63                 6.1402e-04
      64                 5.8554e-04
      65                 4.4225e-04
      66                 3.1400e-04
      67                 2.6999e-04
      68                 2.6897e-04
      69                 2.2243e-04
      70                 1.5427e-04
      71                 1.2375e-04
      72                 1.1738e-04
      73                 1.1474e-04
      74                 9.2145e-05
      75                 6.4628e-05
      76                 4.3238e-05
      77                 2.9010e-05
      78                 2.2219e-05
      79                 2.0379e-05
      80                 2.0362e-05
      81                 1.7852e-05
      82                 1.2546e-05
      83                 7.8722e-06
      84                 5.0039e-06
      85                 2.9211e-06
      86                 1.7042e-06
      87                 1.0068e-06
      88                 5.5848e-07
      89                 3.4582e-07
      90                 2.5819e-07
      91                 2.4482e-07
      92                 2.4040e-07
      93                 1.9597e-07
      94                 1.2430e-07
      95                 6.9365e-08
      96                 3.9317e-08
      97                 2.1765e-08


***PROBLEM CONVERGES IN 97 ITERATIONS***



RELATIVE TOLERANCE = 2.9609e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 1.4147e+00
       2                 4.0595e-01
       3                 2.1744e-01
       4                 1.7328e-01
       5                 1.2527e-01
       6                 8.7256e-02
       7                 6.9560e-02
       8                 6.9559e-02
       9                 6.4227e-02
      10                 4.4726e-02
      11                 3.2359e-02
      12                 2.5956e-02
      13                 2.1467e-02
      14                 2.1024e-02
      15                 1.9622e-02
      16                 1.5807e-02
      17                 1.4938e-02
      18                 1.4888e-02
      19                 1.2995e-02
      20                 1.0977e-02
      21                 9.3514e-03
      22                 9.2463e-03
      23                 9.0522e-03
      24                 8.0620e-03
      25                 7.7805e-03
      26                 7.6023e-03
      27                 6.6355e-03
      28                 6.3109e-03
      29                 6.3072e-03
      30                 5.5820e-03
      31                 4.4394e-03
      32                 4.3494e-03
      33                 4.1369e-03
      34                 3.8537e-03
      35                 3.7137e-03
      36                 3.7002e-03
      37                 3.6647e-03
      38                 3.5919e-03
      39                 3.5542e-03
      40                 3.5531e-03
      41                 3.5245e-03
      42                 3.5106e-03
      43                 3.5105e-03
      44                 3.4671e-03
      45                 3.2581e-03
      46                 3.1706e-03
      47                 3.1692e-03
      48                 3.1362e-03
      49                 3.0549e-03
      50                 2.9553e-03
      51                 2.9552e-03
      52                 2.8124e-03
      53                 2.7658e-03
      54                 2.7109e-03
      55                 2.3590e-03
      56                 1.7966e-03
      57                 1.6028e-03
      58                 1.5990e-03
      59                 1.2764e-03
      60                 8.8999e-04
      61                 6.3798e-04
      62                 5.4888e-04
      63                 5.4501e-04
      64                 5.1974e-04
      65                 3.9257e-04
      66                 2.7878e-04
      67                 2.3979e-04
      68                 2.3887e-04
      69                 1.9747e-04
      70                 1.3694e-04
      71                 1.0985e-04
      72                 1.0419e-04
      73                 1.0185e-04
      74                 8.1795e-05
      75                 5.7370e-05
      76                 3.8382e-05
      77                 2.5753e-05
      78                 1.9724e-05
      79                 1.8091e-05
      80                 1.8076e-05
      81                 1.5847e-05
      82                 1.1136e-05
      83                 6.9877e-06
      84                 4.4418e-06
      85                 2.5929e-06
      86                 1.5127e-06
      87                 8.9362e-07
      88                 4.9572e-07
      89                 3.0696e-07
      90                 2.2918e-07
      91                 2.1731e-07
      92                 2.1338e-07
      93                 1.7395e-07
      94                 1.1033e-07
      95                 6.1570e-08
      96                 3.4898e-08
      97                 1.9318e-08


***PROBLEM CONVERGES IN 97 ITERATIONS***



RELATIVE TOLERANCE = 2.6282e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 1.2558e+00
       2                 3.6049e-01
       3                 1.9320e-01
       4                 1.5382e-01
       5                 1.1136e-01
       6                 7.7458e-02
       7                 6.1744e-02
       8                 6.1743e-02
       9                 5.7009e-02
      10                 3.9702e-02
      11                 2.8726e-02
      12                 2.3041e-02
      13                 1.9055e-02
      14                 1.8661e-02
      15                 1.7417e-02
      16                 1.4031e-02
      17                 1.3259e-02
      18                 1.3215e-02
      19                 1.1535e-02
      20                 9.7428e-03
      21                 8.3004e-03
      22                 8.2070e-03
      23                 8.0347e-03
      24                 7.1559e-03
      25                 6.9059e-03
      26                 6.7478e-03
      27                 5.8898e-03
      28                 5.6016e-03
      29                 5.5983e-03
      30                 4.9548e-03
      31                 3.9406e-03
      32                 3.8607e-03
      33                 3.6720e-03
      34                 3.4206e-03
      35                 3.2965e-03
      36                 3.2845e-03
